"Close","Close(-1)","High(-1)","Low(-1)"
1.8501,1.8877,1.8992,1.8721
1.8337,1.8501,1.8593,1.828
1.8067,1.8337,1.8347,1.7985
1.7623,1.8067,1.7793,1.7511
1.7469,1.7623,1.7728,1.7339
1.7388,1.7469,1.7798,1.7505
1.774,1.7388,1.7745,1.7567
1.7431,1.774,1.7724,1.7407
1.7307,1.7431,1.7487,1.7234
1.767,1.7307,1.7516,1.7307
1.7575,1.767,1.7835,1.7516
1.7613,1.7575,1.7653,1.7407
1.787,1.7613,1.7987,1.7617
1.7676,1.787,1.7885,1.7602
1.7493,1.7676,1.7815,1.7465
1.7615,1.7493,1.7637,1.7339
1.758,1.7615,1.769,1.7435
1.709,1.758,1.7559,1.7143
1.6871,1.709,1.7094,1.6827
1.6924,1.6871,1.6941,1.6651
1.742,1.6924,1.7573,1.6898
1.7333,1.742,1.7423,1.721
1.7315,1.7333,1.7401,1.7109
1.749,1.7315,1.7575,1.7239
1.7499,1.749,1.7583,1.7366
1.7395,1.7499,1.7494,1.7302
1.7566,1.7395,1.758,1.7273
1.76,1.7566,1.7805,1.75
1.7399,1.76,1.7621,1.7405
1.7595,1.7399,1.7651,1.7374
1.7693,1.7595,1.7695,1.7482
1.7703,1.7693,1.7814,1.7631
1.7645,1.7703,1.7842,1.7606
1.7778,1.7645,1.7833,1.7626
1.8042,1.7778,1.8108,1.781
1.8117,1.8042,1.8134,1.7943
1.8593,1.8117,1.8576,1.8134
1.8755,1.8593,1.8854,1.8462
1.8803,1.8755,1.9105,1.8713
1.8547,1.8803,1.8891,1.8455
1.8415,1.8547,1.8522,1.8285
1.808,1.8415,1.8447,1.7926
1.799,1.808,1.8057,1.7811
1.7952,1.799,1.7977,1.7638
1.7796,1.7952,1.7883,1.7732
1.791,1.7796,1.7934,1.7753
1.7987,1.791,1.8006,1.7815
1.817,1.7987,1.815,1.7798
1.7973,1.817,1.822,1.7921
1.8092,1.7973,1.8346,1.7929
1.8577,1.8092,1.8482,1.8314
