"Close","Close(-1)","Volume(-1)","return_diff_last_day"
62638.0,62671.0,1665600,-33.0
63760.0,62638.0,1413600,1122.0
64071.0,63760.0,1766000,311.0
64646.0,64071.0,1153000,575.0
66201.0,64646.0,1190600,1555.0
66703.0,66201.0,2096400,502.0
66200.0,66703.0,1328400,-503.0
67239.0,66200.0,1484600,1039.0
65303.0,67239.0,1402200,-1936.0
65486.0,65303.0,2649200,183.0
66135.0,65486.0,1792600,649.0
65059.0,66135.0,1273200,-1076.0
65086.0,65059.0,1393800,27.0
63161.0,65086.0,1380400,-1925.0
60162.0,63161.0,1499200,-2999.0
63721.0,60162.0,2238800,3559.0
61546.0,63721.0,1747800,-2175.0
62643.0,61546.0,1996200,1097.0
63913.0,62643.0,1902600,1270.0
64816.0,63913.0,1891200,903.0
64466.0,64816.0,1575600,-350.0
66214.0,64466.0,1659000,1748.0
66303.0,66214.0,1599800,89.0
66431.0,66303.0,1652000,128.0
64448.0,66431.0,1807800,-1983.0
65326.0,64448.0,1914400,878.0
66627.0,65326.0,1859000,1301.0
67406.0,66627.0,1757800,779.0
66516.0,67406.0,1733800,-890.0
66327.0,66516.0,1592000,-189.0
66809.0,66327.0,1467000,482.0
67317.0,66809.0,1582600,508.0
67917.0,67317.0,1348000,600.0
66392.0,67917.0,1385400,-1525.0
67082.0,66392.0,825600,690.0
67044.0,67082.0,1172000,-38.0
68546.0,67044.0,2224800,1502.0
68615.0,68546.0,2326400,69.0
68315.0,68615.0,1362000,-300.0
67604.0,68315.0,1223400,-711.0
68512.0,67604.0,1410600,908.0
67729.0,68512.0,1186200,-783.0
68012.0,67729.0,1550000,283.0
68728.0,68012.0,1141400,716.0
69267.0,68728.0,1473200,539.0
69349.0,69267.0,1489600,82.0
69311.0,69349.0,1294000,-38.0
68622.0,69311.0,1284200,-689.0
67068.0,68622.0,1710000,-1554.0
66794.0,67068.0,1339400,-274.0
65925.0,66794.0,1075200,-869.0
67418.0,65925.0,1406000,1493.0
67589.0,67418.0,1272600,171.0
67902.0,67589.0,904400,313.0
68296.0,67902.0,556400,394.0
68588.0,68296.0,669200,292.0
70045.0,68588.0,1182200,1457.0
70240.0,70045.0,1655400,195.0
70729.0,70240.0,1984200,489.0
70451.0,70729.0,2243600,-278.0
70263.0,70451.0,1555000,-188.0
70433.0,70263.0,1634400,170.0
70076.0,70433.0,1569000,-357.0
70385.0,70076.0,1628600,309.0
69801.0,70385.0,1818800,-584.0
68978.0,69801.0,1830200,-823.0
69401.0,68978.0,1648400,423.0
69909.0,69401.0,1139000,508.0
68200.0,69909.0,1323400,-1709.0
66270.0,68200.0,1990600,-1930.0
66220.0,66270.0,2263800,-50.0
65524.0,66220.0,1305000,-696.0
65070.0,65524.0,1990400,-454.0
65588.0,65070.0,1813600,518.0
65402.0,65588.0,1649400,-186.0
66572.0,65402.0,1823200,1170.0
67163.0,66572.0,1494400,591.0
67109.0,67163.0,1587800,-54.0
63934.0,67109.0,1765000,-3175.0
62763.0,63934.0,2262400,-1171.0
63153.0,62763.0,3053000,390.0
64718.0,63153.0,1875600,1565.0
65051.0,64718.0,1357400,333.0
66129.0,65051.0,891000,1078.0
65855.0,66129.0,1259000,-274.0
67285.0,65855.0,873200,1430.0
67836.0,67285.0,0,551.0
67597.0,67836.0,1286600,-239.0
67184.0,67597.0,1248000,-413.0
66108.0,67184.0,1401600,-1076.0
65795.0,66108.0,1644800,-313.0
66121.0,65795.0,1573000,326.0
66503.0,66121.0,1792200,382.0
67228.0,66503.0,1731400,725.0
67779.0,67228.0,1363000,551.0
67641.0,67779.0,1708600,-138.0
67815.0,67641.0,2113800,174.0
68847.0,67815.0,1398600,1032.0
68575.0,68847.0,1950600,-272.0
69576.0,68575.0,1428200,1001.0
69979.0,69576.0,2464200,403.0
69885.0,69979.0,1909200,-94.0
69341.0,69885.0,1627200,-544.0
69024.0,69341.0,1569000,-317.0
69942.0,69024.0,1453000,918.0
69723.0,69942.0,1302400,-219.0
69697.0,69723.0,1372000,-26.0
68829.0,69697.0,1656200,-868.0
69042.0,68829.0,1957400,213.0
69387.0,69042.0,1395200,345.0
68913.0,69387.0,1606600,-474.0
68442.0,68913.0,1597400,-471.0
68683.0,68442.0,1478400,241.0
69939.0,68683.0,1771400,1256.0
69960.0,69939.0,1528000,21.0
70372.0,69960.0,1490000,412.0
71136.0,70372.0,1676800,764.0
71290.0,71136.0,1552800,154.0
71096.0,71290.0,1316000,-194.0
70793.0,71096.0,1697000,-303.0
71785.0,70793.0,1720400,992.0
71417.0,71785.0,1701800,-368.0
70614.0,71417.0,1680000,-803.0
70792.0,70614.0,1471600,178.0
71035.0,70792.0,1634200,243.0
70524.0,71035.0,1758800,-511.0
69421.0,70524.0,2264600,-1103.0
69098.0,69421.0,2043800,-323.0
69318.0,69098.0,1722000,220.0
69386.0,69318.0,1750200,68.0
69509.0,69386.0,1787200,123.0
68872.0,69509.0,1366800,-637.0
66511.0,68872.0,1179400,-2361.0
66656.0,66511.0,2062200,145.0
67978.0,66656.0,1855600,1322.0
67530.0,67978.0,1609400,-448.0
67119.0,67530.0,2120200,-411.0
64869.0,67119.0,1776000,-2250.0
64914.0,64869.0,2820000,45.0
63414.0,64914.0,2681200,-1500.0
62871.0,63414.0,3207600,-543.0
65453.0,62871.0,2903400,2582.0
64425.0,65453.0,2377400,-1028.0
65224.0,64425.0,2401600,799.0
64788.0,65224.0,1981400,-436.0
63412.0,64788.0,1798200,-1376.0
62866.0,63412.0,2220800,-546.0
60841.0,62866.0,2746000,-2025.0
59689.0,60841.0,2787000,-1152.0
58192.0,59689.0,3203000,-1497.0
60259.0,58192.0,3369200,2067.0
59915.0,60259.0,2558200,-344.0
59184.0,59915.0,1792600,-731.0
60190.0,59184.0,2477800,1006.0
62092.0,60190.0,3638600,1902.0
61947.0,62092.0,2388000,-145.0
